,Fichero,Identificador,Fecha,Fecha_Clasificacion,Objeto,Trayectoria_1,Trayectoria_2,Grosor_1,Grosor_2,Retirada
13,""":{""retired"":null",89716128,,20230614,Lightning,,,,,False
14,""":{""retired"":null",89716164,,20230614,Other,,,,,False
15,""":{""retired"":{""id"":116920467,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:05.672Z"",""updated_at"":""2023-06-14T07:06:19.233Z"",""retired_at"":""2023-06-14T07:06:19.219Z"",""subject_id"":89716125,""retirement_reason"":""classification_count""}",89716125,"20467,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:0",20230614,Lightning,,,,,False
16,""":{""retired"":{""id"":116920376,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:59.917Z"",""updated_at"":""2023-06-14T07:06:45.248Z"",""retired_at"":""2023-06-14T07:06:45.189Z"",""subject_id"":89716115,""retirement_reason"":""classification_count""}",89716115,"20376,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:5",20230614,Lightning,,,,,False
17,""":{""retired"":{""id"":116920355,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:02:04.271Z"",""updated_at"":""2023-06-13T23:56:11.470Z"",""retired_at"":""2023-06-13T23:56:11.460Z"",""subject_id"":89716121,""retirement_reason"":""classification_count""}",89716121,"20355,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:02:0",20230614,Bug,,,,,True
18,""":{""retired"":{""id"":116920367,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:30.005Z"",""updated_at"":""2023-06-14T02:03:13.093Z"",""retired_at"":""2023-06-14T02:03:13.081Z"",""subject_id"":89716103,""retirement_reason"":""classification_count""}",89716103,"20367,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:3",20230614,,,,,,False
19,""":{""retired"":null",89716143,,20230614,Lightning,,,,,False
20,""":{""retired"":null",89716111,,20230614,Other,,,,,False
21,""":{""retired"":null",89716183,,20230614,Meteoro,"[399.7921479441344, 238.2787205622738]","[382.72761265681277, 315.9365210899892]","[223.15254720052076, 261.79601542154927]","[336.7489827473956, 310.4046986897783]",False
22,""":{""retired"":{""id"":116920424,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:05.721Z"",""updated_at"":""2023-06-14T02:05:19.445Z"",""retired_at"":""2023-06-14T02:05:19.437Z"",""subject_id"":89716112,""retirement_reason"":""classification_count""}",89716112,"20424,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:0",20230614,Clouds,,,,,True
